AAX	C	2003-01-31	Add MANDOBO ATAS, Indonesia, living		
AOB	C	2003-01-31	Add ABOM, Papua New Guinea, nearly extinct		
AWS	C	2003-01-31	Add AWYU, SOUTH, Indonesia, living		
AWU	C	2003-01-31	Add AWYU, CENTRAL, Indonesia, living		
AWV	C	2003-01-31	Add AWYU, JAIR, Indonesia, living		
AWY	C	2003-01-31	Add AWYU, EDERA, Indonesia, living		
BWP	C	2003-01-31	Add MANDOBO BAWAH, Indonesia, living		
BZJ	C	2003-01-31	Add BELIZE KRIOL ENGLISH, Belize, living		
BZK	C	2003-01-31	Add NICARAGUA CREOLE ENGLISH, Nicaragua, living		
CBL	C	2003-01-31	Add CHIN, BUALKHAW, Myanmar, living		
CCA	C	2003-01-31	Add CAUCA, Colombia, extinct		
CRF	C	2003-01-31	Add CARAMANTA, Colombia, extinct		
DBA	C	2003-01-31	Add DOGON, BANGERI ME, Mali, living		
DBG	C	2003-01-31	Add DOGON, DOGUL DOM, Mali, living		
DBU	C	2003-01-31	Add DOGON, BONDUM DOM, Mali, living		
DBY	C	2003-01-31	Add DIBIYASO, Papua New Guinea, living		
DDS	C	2003-01-31	Add DOGON, DONNO SO, Mali, living		
DJM	C	2003-01-31	Add DOGON, JAMSAY, Mali, living		
DKL	C	2003-01-31	Add DOGON, KOLOM SO, Mali, living		
DTK	C	2003-01-31	Add DOGON, TENE KAN, Mali, living		
DTM	C	2003-01-31	Add DOGON, TOMO KAN, Mali, living		
DTS	C	2003-01-31	Add DOGON, TORO SO, Mali, living		
DTT	C	2003-01-31	Add DOGON, TORO TEGU, Malik, living		
FSS	C	2003-01-31	Add FINNISH-SWEDISH SIGN LANGUAGE, Finland, living		
HCA	C	2003-01-31	Add ANDAMAN CREOLE HINDI, India, living		
IOR	C	2003-01-31	Add INOR, Ethiopia, living		
JAW	C	2003-01-31	Add JAD, India, living		
KTT	C	2003-01-31	Add KETUM, Indonesia, living		
KZV	C	2003-01-31	Add KOMYANDARET, Indonesia, living		
MVZ	C	2003-01-31	Add MESQAN, Ethiopia, living		
MZC	C	2003-01-31	Add MADAGASCAR SIGN LANGUAGE, Madagascar, loiving		
NCH	C	2003-01-31	Add NAHUATL, CENTRAL HUASTECA, Mexico, living		
NEO	C	2003-01-31	Add NA-MEO, Viet Nam, living		
NEQ	C	2003-01-31	Add MIXE, ATITLAN, Mexico, living		
PXM	C	2003-01-31	Add MIXE, QUETZALTEPEC, Mexico, living		
SGW	C	2003-01-31	Add SEBAT BET GURAGE, Ethiopia, living		
SKJ	C	2003-01-31	Add SEKE, Nepal, living		
TKX	C	2003-01-31	Add TANGKO, Indonesia, living		
TQM	C	2003-01-31	Add TURUMSA, Papua New Guinea, living		
TYN	C	2003-01-31	Add KOMBAI, Indonesia, l,iving		
WNG	C	2003-01-31	Add WANGGOM, Indonesia, living		
WPC	C	2003-01-31	Add MACO, Venezuela, living		
AUP	E	2003-01-31	Includes [TCR] which was retired		
DMS	E	2003-01-31	Includes [DMP] which was retired		
ENG	E	2003-01-31	Includes [BYH], [CYE], [GST], and [SAX] which were retired		
GRL	E	2003-01-31	Includes [LJO] and [KJW] which were retired		
ITR	E	2003-01-31	Includes [ROK] which was retired		
JAX	E	2003-01-31	Includes [SBV] which was retired		
LOY	E	2003-01-31	Includes [BON] which was retired		
MCD	E	2003-01-31	Includes [AXA] which was retired		
MUI	E	2003-01-31	Includes [SYU] which was retired		
NAB	E	2003-01-31	Includes [HLO] and [SRR] which were retired		
NLV	E	2003-01-31	Includes [NHX] which was retired		
OPK	E	2003-01-31	Includes [TKO] and [MJB] which were retired		
PTP	E	2003-01-31	Includes [DEA] which was retired		
SUY	E	2003-01-31	Includes [YRM] which was retired		
TBZ	E	2003-01-31	Includes [SOF] which was retired		
XWL	E	2003-01-31	Includes [HWL] which was retired		
AWJ	R	2003-01-31	Split into two; change to either [AWU] or [AWV]		
AXA	R	2003-01-31	Merge with [MCD]; change all [AXA] to [MCD]		
BON	R	2003-01-31	Merge with [LOY]; change all [BON] to [LOY]		
BYH	R	2003-01-31	Merge with [ENG]; change all [BYH] to [ENG]		
BZA	R	2003-01-31	Split in two; change to either [BZJ] or [BZK]		
CYE	R	2003-01-31	Merge with [ENG]; change all [CYE] to ENG]		
DEA	R	2003-01-31	Merge with [PTP]; change all [DEA] to [PTP]		
DMP	R	2003-01-31	Merge with [DMS]; change all [DMP] to [DMS]		
DOG	R	2003-01-31	Split into 10; change to either [DBA], [DBG], [DBU], [DDS], [DJM], [DKL], [DTK], [DTM], [DTS], or [DTT]		
GST	R	2003-01-31	Merge with [ENG]; change all [GST] to [ENG]		
HLO	R	2003-01-31	Merge with [NAB]; change all [HLO] to [NAB]		
HWL	R	2003-01-31	Merge with [XWL]; change all [HWL] to [XWL]		
KGU	R	2003-01-31	Split into rwo; change to either [WNG] or [TYN]		
